,id,text
67,1352993914790305794,"🇹🇷 Süper Lig'in 21. hafta maçında Trabzonspor, deplasmanda Gençlerbirliği'ni 2-1 mağlup etti.

⚽️ 36' Djaniny
⚽️ 54… https://t.co/VF6FuiMJtL"
68,1352993895035113477,"Maç sonucu: Gençlerbirliği 1-2 Trabzonspor

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86' Piris(P')

⚡Toplam şut: 13(2) / 14(… https://t.co/YNr9oaHKBn"
69,1352993883123314691,"🇹🇷🆚 MAÇ BİTTİ | Gençlerbirliği 1-2 Trabzonspor

⚽️86' Piris (pen.)

⚽️36’ Djaniny
⚽️54’ Ekuban

1⃣8⃣ Gençlerbirliği… https://t.co/p1MOdFAkwT"
70,1352993862680244229,"MS | Gençlerbirliği 1-2 Trabzonspor

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86' Piris (P)"
71,1352993822641369088,"⚽36' Djaniny
⚽54' Ekuban
⚽86' Piris (P)

Trabzonspor, Süper Lig'in 21. haftasında deplasmanda Gençlerbirliği'ni 2-1… https://t.co/o4WC0mtelX"
72,1352993793574924289,"MS Gençlerbirliği 1 - Trabzonspor 2

⚽36' Djaniny
⚽54' Ekuban
⚽85' Piris (P)

— Trabzonspor, son 4 maçtaki 3. galib… https://t.co/tNozBOlVvd"
73,1352993786851454977,"Süper Lig'in 21. haftasında Trabzonspor deplasmanda Gençlerbirliği'ni 2-1'lik skorla yendi. 

⚽️36' Djaniny
⚽️54' E… https://t.co/PuftKZB3Mx"
74,1352993784976592902,"MAÇ SONUCU | Gençlerbirliği 1-2 Trabzonspor

36' Djaniny
54' Ekuban
86' Robert Piris (Pen.) https://t.co/faXb4nm08T"
75,1352993771995205634,"MS | Gençlerbirliği 1-2 Trabzonspor

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86' Piris (P) https://t.co/KdMgwl9BMN"
76,1352993760859320324,"Gençlerbirliği 1-2 Trabzonspor (Maç Sonucu)

⚽ 36' Djaniny
⚽ 54' Ekuban
⚽ 86' Piris (P) https://t.co/N4VkbwO9EY"
77,1352993759739473920,"MS | Gençlerbirliği 1-2 Trabzonspor

⚽ 36' Djaniny
⚽ 54' Ekuban
⚽ 86' Piris (P) https://t.co/aE3ofeuMtp"
78,1352992171008339970,"86’ GOL | Piris da Motta (p)

Gençlerbirliği 1-2 Trabzonspor

❗ Tüm Goller şu hesapta &gt; 
@HoliganSports https://t.co/B1xYjr3b1l"
79,1352992121289117697,"GOL | Gençlerbirliği 1-2 Trabzonspor

⚽ '86 Piris (P)"
80,1352992116570525696,"Gençlerbirliği 1-2 Trabzonspor - Piris da Motta penalty 86'
https://t.co/7nU9iuL1Uz
#gen #tra #SofaScore"
81,1352991953990901760,"Bu Gençlerbirliği oyuncusu Robert Piris, penaltılar olmasa 0 tabela katkısı veriyor."
82,1352991927126339585,@futbolarena Mahmet Mercanlar: Bı çıcık cimbımın bi tirli trınsfır idimidiğı Rıbırt Piris mi?
83,1352991722301755392,"Gençlerbirliği 1-2 Trabzonspor

⚽️ 86.' Robert Piris (Pen.)"
84,1352991683256799233,"GOL | Gençlerbirliği 1-2 Trabzonspor

⚽️ 86' Piris da Motta (P)"
85,1352991638818353154,"⚽️ 86' Robert Piris (P)
Gençlerbirliği 1-2 Trabzonspor

Tüm videolar için • @goalforza https://t.co/GE7pQxlBfm"
86,1352991634603073536,"GOL | Gençlerbirliği 1-2 Trabzonspor 
86 Piris (P)

#SONDAKİKA #Trabzonspor"
87,1352991618983481346,Süper Lig’deki son 5 golün 4’ünü Piris atmış Yalçın Çetin ve harika Türkçe’si
88,1352991578646839297,"GOL | Gençlerbirliği 1-2 Trabzonspor

86' Robert Piris (Pen.) https://t.co/PfznqcXNmT"
89,1352991568882499584,"Gençlerbirliği 1-2 Trabzonspor

86.' Robert Piris (Pen.) https://t.co/1mXKFTpj5Y"
90,1352991551144787968,"Gençlerbirliği: 1 - Trabzonspor: 2
GOL: Dk. 86 Robert Piris (Pen.) (Gençlerbirliği)"
91,1352991537618149380,"GOL | Gençlerbirliği 1-2 Trabzonspor

⚽️ 86' Robert Piris (p)"
92,1352991520895463430,RT @yeniacikcom: GOL | Gençlerbirliği: 1 - Trabzonspor: 2 (86’ Piris / Penaltı)
93,1352991502390145031,"RT @golvideolari_2: GOL! Robert Piris ! dk'85 Pen.
Gençlerbirliği 1-2 Trabzonspor
------------------------------
Tüm goller ve önemli pozis…"
94,1352991480252653568,"GOL! Robert Piris ! dk'85 Pen.
Gençlerbirliği 1-2 Trabzonspor
------------------------------
Tüm goller ve önemli p… https://t.co/AghTKLv1Ar"
